-2018-10-21 09:24:52.899,8,6,840F,8410,8415,8423,842E,8430,0,-2264.5,367.72,-227.01,1077.37,4432.39,-98.8,-88,-100,-98.4,-103.4,-96,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:52.899,373,10,840F,8410,8412,8415,841A,8423,8428,842E,8430,8432,0,-1888.34,242.96,651.96,3158.49,144.46,-477.01,1415.55,4725.07,637.89,-100.8,-88.6,-103,-98.0,-102.4,-90.4,-92.2,-103.8,-99.0,-96.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:53.336,373,7,840F,8410,8412,8423,8428,8430,8432,0,-1967.14,125.23,94.75,-567.53,2171.17,521.57,-97.6,-89,-101.4,-91,-91.4,-102.6,-97.6,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:53.336,8,4,840F,8410,8423,8430,0,-1817.04,223.73,4871.87,-101.8,-88,-101.6,-99,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:53.633,8,7,840F,8410,8415,8423,8429,842E,8430,0,-1663.2,881.79,204.03,-734.04,1268.74,3664.58,-103.4,-87.2,-98.2,-97.8,-93.4,-105.6,-102,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:53.633,373,10,840F,8410,8412,8415,8423,8428,8429,842E,8430,8432,0,-1712.45,465.75,672.13,130.86,-484.98,-671.19,1470.43,2154.28,153.37,-96.4,-93.2,-105.2,-95.8,-91.2,-88.6,-93.0,-104.4,-100.4,-98.8,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:54.008,373,11,840F,8410,8412,8415,841A,8423,8428,8429,842E,8430,8432,0,-1860.2,108.82,658.06,3166.46,143.52,-491.55,-686.2,1275.78,1863.48,-115.85,-99.2,-89.2,-104.2,-96.4,-102.0,-92.8,-89.8,-90.2,-102.2,-101.4,-96.6,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:54.008,8,8,840F,8410,8412,8415,8423,8429,842E,8430,0,-1829.24,277.67,796.89,294.09,-648.68,1500.91,3029.5,-102.6,-87.6,-105.6,-101.6,-96.2,-94.2,-105.2,-106.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:54.149,373,1,8428,0,-90,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:54.321,8,6,840F,8410,8415,8423,8429,8430,0,-1820.8,865.84,225.61,-651.49,4993.35,-99.4,-88.2,-101.4,-101.4,-93,-98,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
